IdPais;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;2020;2021;2022;2023;
Afghanistan;2.2;11.8;6.4;7.4;4.7;-0.7;4.4;5.0;0.6;2.3;;..;..;..;..;
Albania;3.6;3.4;2.0;1.9;1.6;1.9;1.3;2.0;2.0;1.4;;1.6;2.0;6.7;4.8;
Algeria;3.9;4.5;8.9;3.3;2.9;4.8;6.4;5.6;4.3;2.0;;2.4;7.2;9.3;9.3;
American Samoa;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Andorra;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Angola;14.5;13.5;10.3;8.8;7.3;9.4;30.7;29.8;19.6;17.1;;22.3;25.8;21.4;13.6;
Antigua and Barbuda;3.4;3.5;3.4;1.1;1.1;1.0;-0.5;2.4;1.2;1.4;;0.6;2.1;7.5;5.1;
Argentina;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Armenia;8.2;7.7;2.6;5.8;3.0;3.7;-1.4;1.0;2.5;1.4;;1.2;7.2;8.6;2.0;
Aruba;2.1;4.3;0.6;-2.4;0.4;0.5;-0.9;-1.0;3.6;4.3;;..;..;..;..;
Australia;2.9;3.3;1.8;2.4;2.5;1.5;1.3;1.9;1.9;1.6;;0.8;2.9;6.6;5.6;
Austria;1.8;3.3;2.5;2.0;1.6;0.9;0.9;2.1;2.0;1.5;;1.4;2.8;8.5;7.8;
Azerbaijan;5.7;7.9;1.1;2.4;1.4;4.0;12.4;12.9;2.3;2.6;;2.8;6.7;13.9;8.8;
Bahamas; The;1.3;3.2;2.0;0.7;1.5;1.9;-0.3;1.5;2.3;2.5;;0.0;2.9;5.6;3.1
Bahrain;2.0;-0.4;2.8;3.3;2.6;1.8;2.8;1.4;2.1;1.0;;-2.3;-0.6;3.6;0.1;
Bangladesh;8.1;11.4;6.2;7.5;7.0;6.2;5.5;5.7;5.5;5.6;;5.7;5.5;7.7;9.9;
Barbados;5.8;9.4;4.5;1.8;1.8;-1.1;1.3;4.7;3.7;4.1;;..;..;..;9.8;
Belarus;7.7;53.2;59.2;18.3;18.1;13.5;11.8;6.0;4.9;5.6;;5.5;9.5;15.2;5.0;
Belgium;2.2;3.5;2.8;1.1;0.3;0.6;2.0;2.1;2.1;1.4;;0.7;2.4;9.6;4.0;
Belize;0.9;1.6;1.3;0.5;1.2;-0.9;0.7;1.1;0.3;0.2;;0.1;3.2;6.3;4.4;
Benin;2.2;2.7;6.7;0.4;-0.5;0.2;-0.8;0.0;0.9;0.7;;3.0;1.7;1.4;2.7;
Bermuda;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Bhutan;7.0;8.8;10.9;8.8;8.3;4.5;3.2;5.0;2.7;2.7;;5.6;7.3;5.6;4.2;
Bolivia;2.5;9.9;4.5;5.7;5.8;4.1;3.6;2.8;2.3;1.8;;0.9;0.7;1.7;2.6;
Bosnia and Herzegovina;2.0;3.7;2.1;-0.1;-0.9;-1.0;-1.6;0.8;1.4;0.6;;-1.1;2.0;14.0;6.1;
Botswana;6.9;8.5;7.5;5.9;4.4;3.1;2.8;3.3;3.2;2.8;;1.9;7.2;11.7;5.1;
Brazil;5.0;6.6;5.4;6.2;6.3;9.0;8.7;3.4;3.7;3.7;;3.2;8.3;9.3;4.6;
British Virgin Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Brunei Darussalam;0.4;0.1;0.1;0.4;-0.2;-0.5;-0.3;-1.3;1.0;-0.4;;1.9;1.7;3.7;0.4;
Bulgaria;2.4;4.2;3.0;0.9;-1.4;-0.1;-0.8;2.1;2.8;3.1;;1.7;3.3;15.3;9.4;
Burkina Faso;-0.8;2.8;3.8;0.5;-0.3;0.7;0.4;1.5;2.0;-3.2;;1.9;3.7;14.3;0.7;
Burundi;6.5;9.6;18.2;7.9;4.4;5.5;5.6;16.1;-2.8;-0.7;;7.3;8.4;18.8;26.9;
Cabo Verde;2.1;4.5;2.5;1.5;-0.2;0.1;-1.4;0.8;1.3;1.1;;0.6;1.9;7.9;3.7;
Cambodia;4.0;5.5;2.9;2.9;3.9;1.2;3.0;2.9;2.5;1.9;;2.9;2.9;5.3;2.1;
Cameroon;1.3;2.9;2.7;2.1;1.9;2.7;0.9;0.6;1.1;2.5;;2.4;2.3;6.2;7.4;
Canada;1.8;2.9;1.5;0.9;1.9;1.1;1.4;1.6;2.3;1.9;;0.7;3.4;6.8;3.9;
Cayman Islands;0.3;1.3;1.2;2.2;1.3;-2.3;-0.6;..;..;..;;..;..;..;..;
Central African Republic;1.5;1.2;5.5;7.0;14.9;1.4;4.9;4.2;1.6;2.7;;1.7;4.3;5.6;3.0;
Chad;-2.1;2.0;7.5;0.2;1.7;4.4;-0.8;-1.5;4.3;-1.0;;4.5;-0.8;5.8;10.8;
Channel Islands;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Chile;1.4;3.3;3.0;1.8;4.7;4.3;3.8;2.2;2.4;2.6;;3.0;4.5;11.6;7.6;
China;3.2;5.6;2.6;2.6;1.9;1.4;2.0;1.6;2.1;2.9;;2.4;1.0;2.0;0.2;
Colombia;2.3;3.4;3.2;2.0;2.9;5.0;7.5;4.3;3.2;3.5;;2.5;3.5;10.2;11.7;
Comoros;3.4;1.8;6.3;-4.3;..;..;..;..;..;..;;..;..;..;..;
Congo; Dem. Rep.;7.1;15.3;9.7;0.8;1.2;0.7;2.9;..;..;..;;..;..;..;..
Congo; Rep.;0.4;1.8;5.0;4.6;0.9;3.2;3.2;0.5;1.2;2.2;;1.8;1.7;3.0;4.3
Costa Rica;5.7;4.9;4.5;5.2;4.5;0.8;0.0;1.6;2.2;2.1;;0.7;1.7;8.3;0.5;
Cote d'Ivoire;1.2;4.9;1.3;2.6;0.4;1.3;0.7;0.7;0.4;-1.1;;2.4;4.1;5.3;4.4;
Croatia;1.0;2.3;3.4;2.2;-0.2;-0.5;-1.1;1.1;1.5;0.8;;0.2;2.6;10.8;7.9;
Cuba;..;..;..;..;..;..;..;..;..;..;;..;..;..;..;
Curacao;2.8;2.3;3.2;1.3;1.5;-0.5;0.0;1.6;2.6;2.6;;..;..;..;..;
